Station, Shaft Number, Date-Time, WorkOrder, Part, Freq. 01 - Reading,Motor-Sanding, Freq. 02 - Reading,Motor-Polishing,Freq-Target,Formular -G,Formular -PO
Auto sanding - 1,4,11/30/2021 19:33,780644,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,5,11/30/2021 19:33,780644,SP400-IR-4,249.1,1450,249.1,1450,245,1,1
Auto sanding - 1,1,11/30/2021 22:37,780632,SP400-IR-4,246.4,1450,246.4,1450,245,1,1
Auto sanding - 1,2,11/30/2021 22:37,780632,SP400-IR-4,248.6,1450,248.6,1450,245,1,1
Auto sanding - 1,3,11/30/2021 22:39,780632,SP400-IR-4,249.4,1450,249.4,1450,245,1,1
Auto sanding - 1,4,11/30/2021 22:40,780632,SP400-IR-4,246.6,1450,246.6,1450,245,1,1
Auto sanding - 1,5,11/30/2021 22:41,780632,SP400-IR-4,248.4,1450,248.4,1450,245,1,1
Auto sanding - 1,1,11/30/2021 22:41,780632,SP400-IR-4,248,1450,248,1450,245,1,1
Auto sanding - 1,2,11/30/2021 22:42,780632,SP400-IR-4,246.1,1450,246.1,1450,245,1,1
Auto sanding - 1,1,11/30/2021 22:44,780638,SP400-IR-4,247.2,1450,247.2,1450,245,1,1
Auto sanding - 1,1,11/30/2021 22:46,780638,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,1,11/30/2021 22:51,780638,SP400-IR-4,248.2,1450,248.2,1450,245,1,1
Auto sanding - 1,2,11/30/2021 22:51,780638,SP400-IR-4,246.1,1450,246.1,1450,245,1,1
Auto sanding - 1,3,11/30/2021 22:52,780638,SP400-IR-4,246.6,1450,246.6,1450,245,1,1
Auto sanding - 1,4,11/30/2021 22:53,780638,SP400-IR-4,248.6,1450,248.6,1450,245,1,1
Auto sanding - 1,5,11/30/2021 22:55,780638,SP400-IR-4,248.2,1450,248.2,1450,245,1,1
Auto sanding - 1,1,11/30/2021 10:59,780642,SP400-IR-4,248.3,1450,248.3,1450,245,1,1
Auto sanding - 1,2,11/30/2021 10:59,780642,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,3,11/30/2021 11:00,780642,SP400-IR-4,248.5,1450,248.5,1450,245,1,1
Auto sanding - 1,4,11/30/2021 11:00,780642,SP400-IR-4,249.6,1450,249.6,1450,245,1,1
Auto sanding - 1,5,11/30/2021 11:00,780642,SP400-IR-4,247.3,1450,247.3,1450,245,1,1
Auto sanding - 1,1,11/30/2021 11:01,780636,SP400-IR-4,246.8,1450,246.8,1450,245,1,1
Auto sanding - 1,2,11/30/2021 11:01,780636,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,3,11/30/2021 11:01,780636,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,4,11/30/2021 11:05,780636,SP400-IR-4,250.2,1450,250.2,1450,245,1,1
Auto sanding - 1,5,11/30/2021 11:14,780636,SP400-IR-4,248.9,1450,248.9,1450,245,1,1
Auto sanding - 1,1,11/30/2021 11:40,780634,SP400-IR-4,247.9,1450,247.9,1450,245,1,1
Auto sanding - 1,2,11/30/2021 11:40,780634,SP400-IR-4,248,1450,248,1450,245,1,1
Auto sanding - 1,3,11/30/2021 11:40,780634,SP400-IR-4,247.6,1450,247.6,1450,245,1,1
Auto sanding - 1,4,11/30/2021 11:40,780634,SP400-IR-4,247.8,1450,247.8,1450,245,1,1
Auto sanding - 1,5,11/30/2021 11:40,780634,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,1,11/30/2021 12:10,780640,SP400-IR-4,250.4,1450,250.4,1450,245,1,1
Auto sanding - 1,1,12/2/2021 18:49,782777,SP400-IR-4,249.1,1450,249.1,1450,245,1,1
Auto sanding - 1,2,12/2/2021 18:49,782777,SP400-IR-4,247.8,1450,247.8,1450,245,1,1
Auto sanding - 1,3,12/2/2021 18:49,782777,SP400-IR-4,248.9,1450,248.9,1450,245,1,1
Auto sanding - 1,4,12/2/2021 18:49,782777,SP400-IR-4,249.5,1450,249.5,1450,245,1,1
Auto sanding - 1,5,12/2/2021 18:50,782777,SP400-IR-4,249.4,1450,249.4,1450,245,1,1
Auto sanding - 1,1,12/2/2021 18:52,782777,SP400-IR-4,248.4,1450,248.4,1450,245,1,1
Auto sanding - 1,2,12/2/2021 18:53,782777,SP400-IR-4,249.9,1450,249.9,1450,245,1,1
Auto sanding - 1,3,12/2/2021 18:53,782777,SP400-IR-4,248.2,1450,248.2,1450,245,1,1
Auto sanding - 1,4,12/2/2021 18:53,782777,SP400-IR-4,247.9,1450,247.9,1450,245,1,1
Auto sanding - 1,5,12/2/2021 18:53,782777,SP400-IR-4,248.5,1450,248.5,1450,245,1,1
Auto sanding - 1,1,12/4/2021 21:07,784666,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,2,12/4/2021 21:08,784666,SP400-IR-4,250,1450,250,1450,245,1,1
Auto sanding - 1,3,12/4/2021 21:08,784666,SP400-IR-4,249.2,1450,249.2,1450,245,1,1
Auto sanding - 1,4,12/4/2021 21:08,784666,SP400-IR-4,250,1450,250,1450,245,1,1
Auto sanding - 1,5,12/4/2021 21:08,784666,SP400-IR-4,246.6,1450,246.6,1450,245,1,1
Auto sanding - 1,1,12/14/2021 17:25,792211,SP400-IR-4,247.9,1450,247.9,1450,245,1,1
Auto sanding - 1,2,12/14/2021 17:25,792211,SP400-IR-4,247.2,1450,247.2,1450,245,1,1
Auto sanding - 1,3,12/14/2021 17:26,792211,SP400-IR-4,247.2,1450,247.2,1450,245,1,1
Auto sanding - 1,4,12/14/2021 17:26,792211,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,5,12/14/2021 17:26,792211,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,4,12/16/2021 7:20,792216,SP400-IR-4,247.1,1450,247.1,1450,245,1,1
Auto sanding - 1,5,12/16/2021 7:20,792216,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,1,12/16/2021 7:35,792216,SP400-IR-4,248.6,1450,248.6,1450,245,1,1
Auto sanding - 1,1,12/16/2021 9:59,792204,SP400-IR-4,246.3,1450,246.3,1450,245,1,1
Auto sanding - 1,2,12/16/2021 9:59,792204,SP400-IR-4,246.3,1450,246.3,1450,245,1,1
Auto sanding - 1,1,12/16/2021 12:43,792215,SP400-IR-4,246.3,1450,246.3,1450,245,1,1
Auto sanding - 1,2,12/16/2021 12:44,792215,SP400-IR-4,247,1450,247,1450,245,1,1
Auto sanding - 1,3,12/16/2021 12:44,792215,SP400-IR-4,248.6,1450,248.6,1450,245,1,1
Auto sanding - 1,4,12/16/2021 12:44,792215,SP400-IR-4,247.4,1450,247.4,1450,245,1,1
Auto sanding - 1,5,12/16/2021 12:44,792215,SP400-IR-4,249.5,1450,249.5,1450,245,1,1
Auto sanding - 1,1,12/16/2021 12:45,792206,SP400-IR-4,246.9,1450,246.9,1450,245,1,1
Auto sanding - 1,2,12/16/2021 12:45,792206,SP400-IR-4,248,1450,248,1450,245,1,1
Auto sanding - 1,3,12/16/2021 12:45,792206,SP400-IR-4,248.5,1450,248.5,1450,245,1,1
Auto sanding - 1,4,12/16/2021 12:59,792206,SP400-IR-4,247.1,1450,247.1,1450,245,1,1
Auto sanding - 1,5,12/16/2021 12:59,792206,SP400-IR-4,247.3,1450,247.3,1450,245,1,1
Auto sanding - 1,1,12/16/2021 16:50,792202,SP400-IR-4,248.3,1450,248.3,1450,245,1,1
Auto sanding - 1,2,12/16/2021 16:51,792202,SP400-IR-4,247.8,1450,247.8,1450,245,1,1
Auto sanding - 1,3,12/16/2021 16:51,792202,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,4,12/16/2021 16:58,792202,SP400-IR-4,247.2,1450,247.2,1450,245,1,1
Auto sanding - 1,1,12/16/2021 18:51,792200,SP400-IR-4,249.9,1450,249.9,1450,245,1,1
Auto sanding - 1,2,12/16/2021 18:51,792200,SP400-IR-4,250.1,1450,250.1,1450,245,1,1
Auto sanding - 1,3,12/16/2021 18:51,792200,SP400-IR-4,247.3,1450,247.3,1450,245,1,1
Auto sanding - 1,4,12/16/2021 18:51,792200,SP400-IR-4,248.6,1450,248.6,1450,245,1,1
Auto sanding - 1,5,12/16/2021 19:04,792200,SP400-IR-4,246.9,1450,246.9,1450,245,1,1
Auto sanding - 1,1,12/16/2021 20:21,792208,SP400-IR-4,250,1450,250,1450,245,1,1
Auto sanding - 1,2,12/16/2021 20:22,792208,SP400-IR-4,249.7,1450,249.7,1450,245,1,1
Auto sanding - 1,3,12/16/2021 20:23,792208,SP400-IR-4,249.1,1450,249.1,1450,245,1,1
Auto sanding - 1,4,12/16/2021 20:23,792208,SP400-IR-4,250.3,1450,250.3,1450,245,1,1
Auto sanding - 1,5,12/16/2021 20:23,792208,SP400-IR-4,250.1,1450,250.1,1450,245,1,1
Auto sanding - 1,1,12/17/2021 0:10,792221,SP400-IR-4,248,1450,248,1450,245,1,1
Auto sanding - 1,2,12/17/2021 0:10,792221,SP400-IR-4,249.3,1450,249.3,1450,245,1,1
Auto sanding - 1,3,12/17/2021 0:10,792221,SP400-IR-4,248.4,1450,248.4,1450,245,1,1
Auto sanding - 1,4,12/17/2021 0:11,792221,SP400-IR-4,249,1450,249,1450,245,1,1
Auto sanding - 1,1,12/17/2021 0:27,792219,SP400-IR-4,247,1450,247,1450,245,1,1
Auto sanding - 1,2,12/17/2021 0:28,792219,SP400-IR-4,249.3,1450,249.3,1450,245,1,1
Auto sanding - 1,3,12/17/2021 0:30,792219,SP400-IR-4,249,1450,249,1450,245,1,1
Auto sanding - 1,4,12/17/2021 0:31,792219,SP400-IR-4,247,1450,247,1450,245,1,1
Auto sanding - 1,5,12/17/2021 0:32,792219,SP400-IR-4,250.3,1450,250.3,1450,245,1,1
Auto sanding - 1,1,12/17/2021 9:35,792214,SP400-IR-4,246.4,1450,246.4,1450,245,1,1
Auto sanding - 1,2,12/17/2021 9:36,792214,SP400-IR-4,247.1,1450,247.1,1450,245,1,1
Auto sanding - 1,3,12/17/2021 9:36,792214,SP400-IR-4,246.2,1450,246.2,1450,245,1,1
Auto sanding - 1,4,12/17/2021 9:36,792214,SP400-IR-4,245.9,1450,245.9,1450,245,1,1
Auto sanding - 1,5,12/17/2021 9:37,792214,SP400-IR-4,246.8,1450,246.8,1450,245,1,1
Auto sanding - 1,1,12/17/2021 10:08,792220,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,2,12/17/2021 10:08,792220,SP400-IR-4,248.2,1450,248.2,1450,245,1,1
Auto sanding - 1,3,12/17/2021 10:09,792220,SP400-IR-4,250.2,1450,250.2,1450,245,1,1
Auto sanding - 1,4,12/17/2021 10:09,792220,SP400-IR-4,249.2,1450,249.2,1450,245,1,1
Auto sanding - 1,5,12/17/2021 10:09,792220,SP400-IR-4,246.6,1450,246.6,1450,245,1,1
Auto sanding - 1,1,12/17/2021 12:58,792218,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,2,12/17/2021 12:58,792218,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,5,12/17/2021 13:33,792198,SP400-IR-4,246.6,1450,246.6,1450,245,1,1
Auto sanding - 1,1,12/17/2021 13:34,792198,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,1,12/17/2021 14:53,792225,SP400-IR-4,246.9,1450,246.9,1450,245,1,1
Auto sanding - 1,2,12/17/2021 14:53,792225,SP400-IR-4,248.5,1450,248.5,1450,245,1,1
Auto sanding - 1,3,12/17/2021 14:53,792225,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,4,12/17/2021 14:53,792225,SP400-IR-4,249.1,1450,249.1,1450,245,1,1
Auto sanding - 1,1,12/17/2021 14:53,794968,SP400-IR-4,246.1,1450,246.1,1450,245,1,1
Auto sanding - 1,5,12/17/2021 14:54,792225,SP400-IR-4,250.3,1450,250.3,1450,245,1,1
Auto sanding - 1,2,12/17/2021 14:55,794968,SP400-IR-4,245.6,1450,245.6,1450,245,1,1
Auto sanding - 1,3,12/17/2021 14:55,794968,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,4,12/17/2021 14:55,794968,SP400-IR-4,247.7,1450,247.7,1450,245,1,1
Auto sanding - 1,5,12/17/2021 14:55,794968,SP400-IR-4,247.2,1450,247.2,1450,245,1,1
Auto sanding - 1,1,12/17/2021 14:58,794968,SP400-IR-4,247,1450,247,1450,245,1,1
Auto sanding - 1,1,12/17/2021 15:15,792212,SP400-IR-4,248.1,1450,248.1,1450,245,1,1
Auto sanding - 1,2,12/17/2021 15:20,792212,SP400-IR-4,248.3,1450,248.3,1450,245,1,1
Auto sanding - 1,1,12/17/2021 16:31,794967,SP400-IR-4,248.6,1450,248.6,1450,245,1,1
Auto sanding - 1,2,12/17/2021 16:33,794967,SP400-IR-4,246.7,1450,246.7,1450,245,1,1
Auto sanding - 1,3,12/17/2021 16:33,794967,SP400-IR-4,249.3,1450,249.3,1450,245,1,1
Auto sanding - 1,4,12/17/2021 16:37,794967,SP400-IR-4,247.9,1450,247.9,1450,245,1,1
Auto sanding - 1,5,12/17/2021 16:42,794967,SP400-IR-4,248.5,1450,248.5,1450,245,1,1
Auto sanding - 1,1,12/17/2021 16:43,794966,SP400-IR-4,246.5,1450,246.5,1450,245,1,1
Auto sanding - 1,2,12/17/2021 16:44,794966,SP400-IR-4,247.2,1450,247.2,1450,245,1,1
Auto sanding - 1,3,12/17/2021 16:44,794966,SP400-IR-4,248,1450,248,1450,245,1,1
Auto sanding - 1,4,12/17/2021 16:44,794966,SP400-IR-4,247,1450,247,1450,245,1,1
Auto sanding - 1,5,12/17/2021 16:47,794966,SP400-IR-4,250.2,1450,250.2,1450,245,1,1
Auto sanding - 1,1,12/17/2021 4:50,792196,SP400-IR-4,247.3,1450,247.3,1450,245,1,1
Auto sanding - 1,2,12/17/2021 4:51,792196,SP400-IR-4,249.4,1450,249.4,1450,245,1,1
Auto sanding - 1,3,12/17/2021 4:51,792196,SP400-IR-4,248.4,1450,248.4,1450,245,1,1
Auto sanding - 1,4,12/17/2021 4:54,792196,SP400-IR-4,247.7,1450,247.7,1450,245,1,1
Auto sanding - 1,5,12/17/2021 4:54,792196,SP400-IR-4,248,1450,248,1450,245,1,1
Auto sanding - 1,1,12/18/2021 0:30,794965,SP400-IR-4,246,1450,246,1450,245,1,1
Auto sanding - 1,2,12/18/2021 0:30,794965,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,3,12/18/2021 0:30,794965,SP400-IR-4,249.2,1450,249.2,1450,245,1,1
Auto sanding - 1,4,12/18/2021 0:31,794965,SP400-IR-4,249.2,1450,249.2,1450,245,1,1
Auto sanding - 1,5,12/18/2021 0:31,794965,SP400-IR-4,249.4,1450,249.4,1450,245,1,1
Auto sanding - 1,1,12/17/2021 12:45,794961,SP400-IR-4,246.4,1450,246.4,1450,245,1,1
Auto sanding - 1,2,12/17/2021 12:45,794961,SP400-IR-4,247.6,1450,247.6,1450,245,1,1
Auto sanding - 1,3,12/17/2021 12:45,794961,SP400-IR-4,247.8,1450,247.8,1450,245,1,1
Auto sanding - 1,4,12/17/2021 12:46,794961,SP400-IR-4,249.7,1450,249.7,1450,245,1,1
Auto sanding - 1,5,12/17/2021 12:46,794961,SP400-IR-4,249.8,1450,249.8,1450,245,1,1
Auto sanding - 1,1,12/17/2021 12:48,794961,SP400-IR-4,249.4,1450,249.4,1450,245,1,1
Auto sanding - 1,1,12/17/2021 15:07,792217,SP400-IR-4,249.7,1450,249.7,1450,245,1,1
Auto sanding - 1,2,12/17/2021 15:07,792217,SP400-IR-4,246.4,1450,246.4,1450,245,1,1
Auto sanding - 1,3,12/17/2021 15:07,792217,SP400-IR-4,250.1,1450,250.1,1450,245,1,1
Auto sanding - 1,4,12/17/2021 15:08,792217,SP400-IR-4,249.6,1450,249.6,1450,245,1,1
Auto sanding - 1,5,12/17/2021 15:08,792217,SP400-IR-4,248.5,1450,248.5,1450,245,1,1
Auto sanding - 1,1,12/18/2021 9:15,794953,SP400-IR-4,247.1,1450,247.1,1450,245,1,1
Auto sanding - 1,1,12/18/2021 15:01,794949,SP400-IR-4,248.8,1450,248.8,1450,245,1,1
Auto sanding - 1,1,12/18/2021 3:14,794957,SP400-IR-4,248.7,1450,248.7,1450,245,1,1
Auto sanding - 1,2,12/18/2021 3:14,794957,SP400-IR-4,248.2,1450,248.2,1450,245,1,1
Auto sanding - 1,3,12/18/2021 3:14,794957,SP400-IR-4,249,1450,249,1450,245,1,1
Auto sanding - 1,4,12/18/2021 3:14,794957,SP400-IR-4,249.1,1450,249.1,1450,245,1,1
Auto sanding - 1,5,12/18/2021 3:14,794957,SP400-IR-4,248.7,1450,248.7,1450,245,1,1
Auto sanding - 1,1,12/18/2021 14:56,794964,SP400-IR-4,249.4,1450,249.4,1450,245,1,1
Auto sanding - 1,2,12/18/2021 14:56,794964,SP400-IR-4,249.5,1450,249.5,1450,245,1,1
Auto sanding - 1,3,12/18/2021 14:56,794964,SP400-IR-4,249.7,1450,249.7,1450,245,1,1
Auto sanding - 1,4,12/18/2021 14:56,794964,SP400-IR-4,250.3,1450,250.3,1450,245,1,1
Auto sanding - 1,5,12/18/2021 14:57,794964,SP400-IR-4,249.7,1450,249.7,1450,245,1,1
Auto sanding - 1,1,12/19/2021 4:00,796168,SP400-IR-4,248.7,1450,248.7,1450,245,1,1
Auto sanding - 1,2,12/19/2021 4:10,796168,SP400-IR-4,248.7,1450,248.7,1450,245,1,1
Auto sanding - 1,3,12/19/2021 4:10,796168,SP400-IR-4,247.5,1450,247.5,1450,245,1,1
Auto sanding - 1,1,12/18/2021 16:20,796255,SP400-IR-4,250.1,1450,250.1,1450,245,1,1
Auto sanding - 1,2,12/18/2021 16:21,796255,SP400-IR-4,249.9,1450,249.9,1450,245,1,1
Auto sanding - 1,3,12/18/2021 16:21,796255,SP400-IR-4,250.3,1450,250.3,1450,245,1,1
